90 8 12	
 329  0	79
 389  0	73
 207  0	75
 626  0	58
 795  0	20
 1214  0	51
 246  1	36
 1014  0	35
 1004  1	85
 275  1	82
 613  1	78
 675  0	25
 1025  1	77
 491  1	20
 629  1	25
 494  1	47
 503  0	48
 335  0	90
 419  1	54
 729  0	72
 402  0	50
 1159  0	41
 898  1	73
 1059  0	25
 1160  1	38
 955  0	63
 447  0	62
 1100  1	78
 666  0	69
 847  0	57
 920  0	64
 613  1	79
 321  0	78
 1074  0	87
 443  1	74
 531  0	40
 508  0	48
 1251  0	24
 377  0	24
 508  0	37
 447  0	85
 427  0	35
 876  1	21
 419  0	65
 1170  0	42
 1015  0	35
 1248  1	89
 671  0	45
 495  0	30
 461  1	36
 519  0	38
 778  0	44
 961  1	22
 716  0	39
 370  0	76
 774  1	30
 1073  0	73
 1001  0	39
 213  0	88
 893  1	66
 506  0	62
 251  0	33
 982  0	32
 905  0	63
 674  1	78
 407  1	72
 771  1	56
 265  1	55
 493  0	40
 461  0	38
 650  0	43
 223  1	45
 1096  0	66
 866  1	57
 479  0	33
 337  0	29
 447  0	63
 461  0	45
 1210  0	21
 496  0	33
 654  1	63
 567  0	48
 1111  0	72
 454  0	65
 1057  1	29
 531  0	30
 842  0	73
 1091  0	48
 580  0	24
 389  1	36
 	
79 95 143 143 79 207 143 159 	
149 179 269 269 149 389 269 299 	
128 128 79 79 143 207 128 159 	
265 265 265 265 113 246 113 152 	
517 517 517 517 221 480 221 296 	
531 531 531 531 227 493 227 304 	
170 189 113 113 189 152 246 246 	
97 83 167 181 97 69 112 112 	
433 248 248 309 309 433 309 402 	
209 194 104 179 104 149 89 120 	
223 128 128 159 159 223 159 207 	
79 95 143 143 79 207 143 159 	
337 337 259 129 155 208 233 363 	
111 95 191 207 111 79 128 128 	
337 363 337 363 337 363 129 311 	
188 161 323 350 188 134 216 216 	
402 402 309 154 185 248 278 433 	
192 167 143 239 215 167 119 335 	
389 419 389 419 389 419 149 359 	
155 259 363 259 129 285 155 129 	
154 185 278 278 154 402 278 309 	
191 319 447 319 159 351 191 159 	
248 216 185 309 278 216 154 433 	
97 83 167 181 97 69 112 112 	
272 233 467 506 272 194 312 312 	
174 149 299 324 174 124 200 200 	
415 447 415 447 415 447 159 383 	
164 197 296 296 164 428 296 329 	
